system:index,area_km2,class,territory,year,.geo
19_3_0,732.9380603700514,1,1504455.0,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_4_0,2074.259910454135,1,1505486.0,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_5_0,937.2608793619861,1,1505650.0,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_6_0,1825.5007604477294,1,1505908.0,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_7_0,341.952799889413,1,1507805.0,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_8_0,1420.225373041865,1,1508159.0,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_9_0,976.7001286583813,1,1508357.0,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0_0,4224.2138198895855,1,1500602.0,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_1_0,917.482428862312,1,1500859.0,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_2_0,1305.0237053418966,1,1501725.0,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_3_0,749.8702585263076,1,1504455.0,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_4_0,2164.3460944936637,1,1505486.0,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_5_0,956.4463108559561,1,1505650.0,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_6_0,1886.2594325905402,1,1505908.0,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_7_0,359.51339051300874,1,1507805.0,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_8_0,1458.9719702704003,1,1508159.0,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_9_0,997.809328849472,1,1508357.0,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0_0,4536.107869253966,1,1500602.0,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_1_0,979.3744435193188,1,1500859.0,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_2_0,1322.491677860564,1,1501725.0,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_3_0,758.4002180064041,1,1504455.0,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_4_0,2313.4756408275725,1,1505486.0,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_5_0,998.5951531383279,1,1505650.0,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_6_0,1914.8060327080043,1,1505908.0,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_7_0,382.73315532813757,1,1507805.0,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_8_0,1507.388383231373,1,1508159.0,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_9_0,1016.2423619463359,1,1508357.0,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0_0,4703.122195135552,1,1500602.0,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_1_0,995.9469411760064,1,1500859.0,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_2_0,1331.1034578270815,1,1501725.0,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_3_0,765.1436828079891,1,1504455.0,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
